test,date_announced,positive,deaths
0,1/02/2020,0,0
0,2/02/2020,0,0
1,3/02/2020,0,0
0,4/02/2020,0,0
4,5/02/2020,0,0
0,6/02/2020,0,0
2,7/02/2020,0,0
0,8/02/2020,0,0
0,9/02/2020,0,0
1,10/02/2020,0,0
6,11/02/2020,0,0
0,13/02/2020,0,0
13,14/02/2020,0,0
0,15/02/2020,0,0
2,16/02/2020,0,0
0,17/02/2020,0,0
0,18/02/2020,0,0
0,19/02/2020,0,0
0,20/02/2020,0,0
0,21/02/2020,0,0
1,22/02/2020,0,0
0,23/02/2020,0,0
0,24/02/2020,0,0
1,25/02/2020,0,0
0,26/02/2020,0,0
2,27/02/2020,0,0
2,28/02/2020,0,0
1,29/02/2020,0,0
0,1/03/2020,0,0
0,2/03/2020,0,0
4,3/03/2020,0,0
5,4/03/2020,0,0
2,5/03/2020,0,0
4,6/03/2020,0,0
13,7/03/2020,0,0
6,8/03/2020,0,0
7,9/03/2020,0,0
3,10/03/2020,0,0
6,11/03/2020,0,0
5,12/03/2020,0,0
12,13/03/2020,0,0
9,14/03/2020,0,0
5,15/03/2020,0,0
7,16/03/2020,0,0
5,17/03/2020,0,0
8,18/03/2020,0,0
13,19/03/2020,0,0
17,20/03/2020,0,0
11,21/03/2020,0,0
10,22/03/2020,0,0
14,23/03/2020,2,0
2,24/03/2020,0,0
41,25/03/2020,1,0
48,26/03/2020,2,0
62,27/03/2020,3,0
44,28/03/2020,0,0
82,29/03/2020,2,0
55,30/03/2020,4,0
67,31/03/2020,1,1
56,1/04/2020,1,0
62,2/04/2020,4,0
55,3/04/2020,0,0
84,4/04/2020,1,0
55,5/04/2020,0,0
46,6/04/2020,1,0
32,7/04/2020,0,0
33,8/04/2020,0,2
92,9/04/2020,1,0
44,10/04/2020,5,0
78,10/04/2020,0,0
223,11/04/2020,3,0
285,12/04/2020,10,1
81,13/04/2020,0,0
93,13/04/2020,0,0
136,14/04/2020,22,0
381,14/04/2020,0,0
400,15/04/2020,11,0
113,16/04/2020,11,0
269,16/04/2020,0,0
378,17/04/2020,9,0
272,18/04/2020,13,1
369,19/04/2020,4,0
427,20/04/2020,8,0
279,21/04/2020,2,0
252,22/04/2020,6,0
265,23/04/2020,12,0
350,24/04/2020,5,0
426,25/04/2020,2,0
347,26/04/2020,0,0
345,27/04/2020,0,0
413,28/04/2020,4,0
294,29/04/2020,0,1
237,30/04/2020,1,0
196,1/05/2020,0,0
378,2/05/2020,0,0
252,3/05/2020,4,0
271,4/05/2020,6,0
655,5/05/2020,0,0
406,6/05/2020,1,0
247,7/05/2020,14,0
582,8/05/2020,1,0
453,9/05/2020,1,0
284,10/05/2020,2,0
353,11/05/2020,0,0
275,12/05/2020,0,0
440,13/05/2020,1,0
523,14/05/2020,0,0
694,15/05/2020,1,0
417,16/05/2020,0,0
576,17/05/2020,5,0
597,18/05/2020,4,0
718,19/05/2020,2,0
722,20/05/2020,6,0
627,21/05/2020,0,0
740,22/05/2020,2,0
781,23/05/2020,0,0
914,24/05/2020,0,0
777,25/05/2020,2,0
1312,26/05/2020,3,0
1343,27/05/2020,0,0
1211,28/05/2020,0,0
1214,29/05/2020,18,0
1338,30/05/2020,0,0
1560,31/05/2020,4,0
1246,1/06/2020,0,0
1862,2/06/2020,5,0
1905,3/06/2020,1,0
1936,4/06/2020,2,0
1872,5/06/2020,0,0
1934,6/06/2020,4,0
2097,7/06/2020,3,0
1556,8/06/2020,1,0
2054,9/06/2020,2,0
1613,10/06/2020,3,0
2196,11/06/2020,12,0
1804,12/06/2020,0,0
2047,13/06/2020,0,0
1994,14/06/2020,1,0
2091,15/06/2020,0,0
2363,16/06/2020,0,0
2096,17/06/2020,1,0
2422,18/06/2020,23,0
2152,19/06/2020,0,0
2242,20/06/2020,1,0
1570,21/06/2020,3,0
1789,22/06/2020,1,0
1997,23/06/2020,1,0
2330,24/06/2020,1,0
2018,25/06/2020,0,0
1722,26/06/2020,0,0
1965,27/06/2020,3,0
1767,28/06/2020,3,0
1741,29/06/2020,0,0
1708,30/06/2020,0,0
1340,1/07/2020,5,0
1753,2/07/2020,0,0
1555,3/07/2020,2,0
1816,4/07/2020,7,0
958,5/07/2020,0,0
1654,6/07/2020,3,0
1459,7/07/2020,0,0
1688,8/07/2020,2,0
1829,9/07/2020,3,0
1816,10/07/2020,5,0
1895,11/07/2020,4,0
1099,12/07/2020,1,0
1143,13/07/2020,5,0
1736,14/07/2020,1,0
1429,15/07/2020,0,0
1874,16/07/2020,2,0
1724,17/07/2020,0,0
2066,18/07/2020,2,0
1419,19/07/2020,0,0
1215,20/07/2020,0,0
785,21/07/2020,0,0
1147,22/07/2020,2,0
1276,23/07/2020,0,0
1471,24/07/2020,3,0
1431,25/07/2020,3,0
1121,26/07/2020,1,0
1183,27/07/2020,0,0
1184,28/07/2020,1,0
2217,29/07/2020,2,0
847,30/07/2020,0,0
881,31/07/2020,0,0
915,1/08/2020,0,0
1232,2/08/2020,0,0
1314,3/08/2020,2,0
748,4/08/2020,1,0
1562,5/08/2020,1,0
1308,6/08/2020,2,0
1335,7/08/2020,0,0
1291,8/08/2020,0,0
1063,9/08/2020,1,0
1167,10/08/2020,0,0
1145,11/08/2020,0,0
2021,12/08/2020,1,0
1908,13/08/2020,8,0
1908,14/08/2020,5,0
1610,15/08/2020,0,0
973,16/08/2020,1,0
1714,17/08/2020,1,0
1993,18/08/2020,3,0
1664,19/08/2020,17,0
1611,20/08/2020,13,0
1609,21/08/2020,26,0
1290,22/08/2020,9,0
1092,23/08/2020,19,0
1786,24/08/2020,11,0
2300,25/08/2020,100,0
2296,26/08/2020,12,0
1976,27/08/2020,42,0
2535,28/08/2020,28,0
2054,29/08/2020,93,0
2425,30/08/2020,38,0
2152,31/08/2020,100,0
2441,1/09/2020,51,0
2552,2/09/2020,120,0
2594,3/09/2020,75,1
3175,4/09/2020,83,0
3165,5/09/2020,103,0
3007,6/09/2020,145,1
2697,7/09/2020,146,2
3317,8/09/2020,197,1
3415,9/09/2020,201,2
3417,10/09/2020,257,1
4109,11/09/2020,180,4
4120,12/09/2020,351,5
3635,13/09/2020,219,7
4458,14/09/2020,284,13
4597,15/09/2020,337,7
4555,16/09/2020,259,11
5284,17/09/2020,404,10
5252,18/09/2020,322,17
5298,19/09/2020,642,12
4892,20/09/2020,542,10
5436,21/09/2020,665,15
5582,22/09/2020,488,17
5872,23/09/2020,869,19
4725,24/09/2020,687,25
3360,25/09/2020,597,21
5816,26/09/2020,880,14
5272,27/09/2020,743,5
5597,28/09/2020,896,30
5962,29/09/2020,797,28
6262,30/09/2020,946,26
5352,1/10/2020,1010,11
6895,2/10/2020,1142,32
8157,3/10/2020,975,18
8107,4/10/2020,1294,41
8285,5/10/2020,987,32
10074,6/10/2020,1252,27
12322,7/10/2020,1400,39
12268,8/10/2020,1012,25
15301,9/10/2020,1461,31
16312,10/10/2020,2158,32
14809,11/10/2020,1910,48
14707,12/10/2020,1344,18
